Grafico_Configuracao_do_robo
Time (Seconds),X (Meters),Y (Meters)
74.300003,-0.201065,0.071431
74.350006,-0.194336,0.068182
74.400002,-0.187688,0.065051
74.450005,-0.181128,0.061922
74.500000,-0.174063,0.058979
74.550003,-0.167051,0.056078
74.600006,-0.160344,0.053247
74.650002,-0.153442,0.050500
74.700005,-0.146205,0.047848
74.750000,-0.139235,0.045228
74.800003,-0.132294,0.042737
74.850006,-0.125263,0.040364
74.900002,-0.117970,0.038082
74.950005,-0.110755,0.035891
75.000000,-0.103606,0.033786
75.050003,-0.096469,0.031747
75.100006,-0.089318,0.029729
75.150002,-0.082251,0.027780
75.200005,-0.075269,0.026055
75.250000,-0.068666,0.024430
75.300003,-0.062139,0.022882
75.350006,-0.055588,0.021437
75.400002,-0.049068,0.020040
75.450005,-0.042482,0.018695
75.500000,-0.035979,0.017433
75.550003,-0.029542,0.016175
75.600006,-0.023137,0.014949
75.650002,-0.016543,0.013846
75.700005,-0.009962,0.012778
75.750000,-0.003401,0.011736
75.800003,0.003217,0.010801
75.850006,0.009933,0.009947
75.900002,0.016689,0.009131
75.950005,0.023340,0.008370
76.000000,0.029967,0.007687
76.050003,0.036682,0.007031
76.100006,0.043405,0.006457
76.150002,0.050123,0.005954
76.200005,0.056986,0.005586
76.250000,0.064092,0.005265
76.300003,0.071338,0.005075
76.350006,0.077986,0.004808
76.400002,0.084698,0.004598
76.450005,0.091918,0.004614
76.500000,0.099329,0.004858
76.550003,0.106493,0.005137
76.600006,0.113871,0.005547
76.650002,0.121326,0.006073
76.700005,0.128695,0.006580
76.750000,0.136264,0.007297
76.800003,0.143563,0.007981
76.850006,0.151231,0.009046
76.900002,0.158591,0.010020
76.950005,0.166003,0.011141
77.000000,0.172941,0.012093
77.050003,0.179900,0.013051
77.100006,0.187322,0.014353
77.150002,0.194677,0.015762
77.200005,0.202107,0.017280
77.250000,0.209151,0.018751
77.300003,0.216382,0.020379
77.350006,0.223696,0.022097
77.400002,0.230377,0.023682
77.450005,0.236850,0.025198
77.500000,0.243372,0.026914
77.550003,0.249828,0.028609
77.600006,0.256223,0.030297
77.650002,0.262701,0.032197
77.700005,0.269117,0.034109
77.750000,0.275431,0.035979
77.800003,0.281850,0.038045
77.850006,0.288239,0.040126
77.900002,0.294688,0.042372
77.950005,0.301130,0.044646
78.000000,0.307508,0.046918
78.050003,0.313934,0.049412
78.100006,0.320254,0.051896
78.150002,0.326526,0.054425
78.200005,0.332729,0.056973
78.250000,0.338904,0.059592
78.300003,0.345026,0.062228
78.350006,0.351173,0.064894
78.400002,0.357233,0.067667
78.450005,0.363361,0.070488
78.500000,0.369519,0.073514
78.550003,0.375638,0.076610
78.600006,0.381711,0.079671
78.650002,0.388028,0.083109
78.700005,0.394307,0.086641
78.750000,0.400251,0.089993
78.800003,0.406094,0.093311
78.850006,0.411890,0.096705
78.900002,0.418016,0.100441
78.950005,0.423820,0.104029
79.000000,0.429600,0.107718
79.050003,0.435458,0.111576
79.100006,0.441244,0.115414
79.150002,0.447089,0.119411
79.200005,0.452801,0.123380
79.250000,0.458666,0.127790
79.300003,0.464192,0.131812
79.350006,0.469617,0.135899
79.400002,0.475011,0.140000
79.450005,0.480440,0.144192
79.500000,0.485840,0.148541
79.550003,0.491415,0.153272
79.600006,0.496933,0.158147
79.650002,0.502471,0.163058
79.700005,0.507820,0.167888
79.750000,0.513106,0.172698
79.800003,0.518499,0.178013
79.850006,0.523781,0.183260
79.900002,0.529049,0.188615
79.950005,0.534208,0.193998
80.000000,0.539105,0.199230
80.050003,0.544049,0.204529
80.100006,0.548441,0.209754
80.150002,0.552819,0.215157
80.200005,0.557156,0.220600
80.250000,0.561487,0.226321
80.300003,0.565679,0.231668
80.350006,0.569893,0.237332
80.400002,0.574095,0.243074
80.450005,0.578212,0.248822
80.500000,0.582464,0.254493
80.550003,0.586641,0.260321
80.600006,0.590852,0.266509
80.650002,0.594928,0.272691
80.700005,0.598867,0.278883
80.750000,0.602761,0.285191
80.800003,0.606625,0.291751
80.850006,0.610315,0.298036
80.900002,0.613952,0.304354
80.950005,0.617554,0.310753
81.000000,0.621071,0.317417
81.050003,0.624500,0.324025
81.100006,0.627906,0.330644
81.150002,0.631236,0.337631
81.200005,0.634403,0.344224
81.250000,0.637563,0.351047
81.300003,0.640475,0.358096
81.350006,0.643364,0.364676
81.400002,0.646247,0.371376
81.450005,0.648994,0.378231
81.500000,0.651612,0.384706
81.550003,0.654216,0.391541
81.600006,0.656674,0.398785
81.650002,0.659063,0.405841
81.700005,0.661394,0.412857
81.750000,0.663651,0.420056
81.800003,0.665821,0.426826
81.850006,0.667908,0.433819
81.900002,0.669888,0.440791
81.950005,0.671764,0.448178
82.000000,0.673525,0.455312
82.050003,0.675280,0.462282
82.100006,0.676953,0.469228
82.150002,0.678534,0.476403
82.200005,0.680036,0.483639
82.250000,0.681362,0.491282
82.300003,0.682729,0.498388
82.350006,0.683952,0.505567
82.400002,0.685177,0.512455
82.450005,0.686247,0.519730
82.500000,0.687114,0.527264
82.550003,0.688054,0.534528
82.600006,0.688891,0.541911
82.650002,0.689707,0.548964
82.700005,0.690282,0.556445
82.750000,0.690758,0.564070
82.800003,0.691170,0.571775
82.850006,0.691546,0.578947
82.900002,0.691697,0.586557
82.950005,0.691865,0.593715
83.000000,0.692099,0.600768
83.050003,0.692155,0.608137
83.100006,0.691950,0.615891
83.150002,0.691730,0.623153
83.200005,0.691442,0.630709
83.250000,0.691054,0.637973
83.300003,0.690557,0.645235
83.350006,0.690128,0.652422
83.400002,0.689237,0.660145
83.450005,0.688494,0.667460
