Inclinacao_do_robo
Time (Seconds),Teta (Degrees)
74.300003,-31.190868
74.350006,-30.470335
74.400002,-29.766621
74.450005,-29.111664
74.500000,-28.309490
74.550003,-27.548796
74.600006,-26.880892
74.650002,-26.149778
74.700005,-25.371801
74.750000,-24.681454
74.800003,-23.971701
74.850006,-23.250624
74.900002,-22.451399
74.950005,-21.691866
75.000000,-20.965429
75.050003,-20.259394
75.100006,-19.563288
75.150002,-18.882631
75.200005,-18.183119
75.250000,-17.599945
75.300003,-17.047009
75.350006,-16.482769
75.400002,-15.934384
75.450005,-15.362233
75.500000,-14.812509
75.550003,-14.289856
75.600006,-13.774548
75.650002,-13.204660
75.700005,-12.652930
75.750000,-12.111153
75.800003,-11.533601
75.850006,-10.927615
75.900002,-10.333032
75.950005,-9.754252
76.000000,-9.174298
76.050003,-8.591749
76.100006,-8.014545
76.150002,-7.424566
76.200005,-6.783577
76.250000,-6.123446
76.300003,-5.439764
76.350006,-4.882219
76.400002,-4.305233
76.450005,-3.614491
76.500000,-2.850430
76.550003,-2.162298
76.600006,-1.446005
76.650002,-0.725415
76.700005,-0.039502
76.750000,0.708805
76.800003,1.392400
76.850006,2.208399
76.900002,2.914111
76.950005,3.657653
77.000000,4.254314
77.050003,4.849296
77.100006,5.575742
77.150002,6.294166
77.200005,7.031919
77.250000,7.679568
77.300003,8.381226
77.350006,9.123970
77.400002,9.731180
77.450005,10.273981
77.500000,10.864884
77.550003,11.430190
77.600006,11.978899
77.650002,12.577858
77.700005,13.157972
77.750000,13.699016
77.800003,14.306924
77.850006,14.890437
77.900002,15.511659
77.950005,16.115204
78.000000,16.705626
78.050003,17.339886
78.100006,17.951771
78.150002,18.548321
78.200005,19.124207
78.250000,19.714989
78.300003,20.290720
78.350006,20.856377
78.400002,21.433949
78.450005,22.002670
78.500000,22.622728
78.550003,23.253038
78.600006,23.841288
78.650002,24.541044
78.700005,25.229830
78.750000,25.844172
78.800003,26.437122
78.850006,27.024544
78.900002,27.685068
78.950005,28.290098
79.000000,28.916187
79.050003,29.582424
79.100006,30.204332
79.150002,30.865850
79.200005,31.496035
79.250000,32.230610
79.300003,32.828247
79.350006,33.435223
79.400002,34.023449
79.450005,34.622635
79.500000,35.251633
79.550003,35.965897
79.600006,36.691830
79.650002,37.440426
79.700005,38.128853
79.750000,38.809998
79.800003,39.620659
79.850006,40.374001
79.900002,41.148304
79.950005,41.914814
80.000000,42.624378
80.050003,43.319286
80.100006,44.029438
80.150002,44.777107
80.200005,45.463150
80.250000,46.221146
80.300003,46.884682
80.350006,47.657040
80.400002,48.422649
80.450005,49.173145
80.500000,49.792786
80.550003,50.465248
80.600006,51.225273
80.650002,51.966675
80.700005,52.720726
80.750000,53.457222
80.800003,54.258739
80.850006,54.953152
80.900002,55.667618
80.950005,56.364288
81.000000,57.137028
81.050003,57.874836
81.100006,58.575615
81.150002,59.380230
81.200005,60.070980
81.250000,60.804150
81.300003,61.619946
81.350006,62.276962
81.400002,62.948528
81.450005,63.655170
81.500000,64.269188
81.550003,64.964409
81.600006,65.761444
81.650002,66.492416
81.700005,67.199135
81.750000,67.931160
81.800003,68.562332
81.850006,69.255470
81.900002,69.933739
81.950005,70.703262
82.000000,71.422661
82.050003,72.063255
82.100006,72.704445
82.150002,73.396004
82.200005,74.090462
82.250000,74.888229
82.300003,75.541222
82.350006,76.206306
82.400002,76.788857
82.450005,77.490852
82.500000,78.256554
82.550003,78.932404
82.600006,79.626198
82.650002,80.245392
82.700005,80.995338
82.750000,81.760422
82.800003,82.524292
82.850006,83.168266
82.900002,83.951065
82.950005,84.608192
83.000000,85.215721
83.050003,85.901237
83.100006,86.707535
83.150002,87.401810
83.200005,88.155449
83.250000,88.856773
83.300003,89.556999
83.350006,90.222878
83.400002,91.072319
83.450005,91.773506
83.500000,92.503387
83.550003,93.216621
83.600006,93.948685
83.650002,94.773796
83.700005,95.468315
83.750000,96.195808
83.800003,97.123466
83.850006,97.848892
83.900002,98.522285
83.950005,99.167351
84.000000,99.968231
84.050003,100.754776
84.100006,101.430984
84.150002,102.181465
84.200005,102.967903
84.250000,103.717949
84.300003,104.494041
84.350006,105.182892
84.400002,106.005493
84.450005,106.811630
84.500000,107.604584
84.550003,108.446075
84.600006,109.193733
84.650002,109.945129
84.700005,110.730980
84.750000,111.460754
84.800003,112.178917
84.850006,112.858299
84.900002,113.562241
84.950005,114.229790
85.000000,115.026711
85.050003,115.733551
85.100006,116.346252
85.150002,117.062248
85.200005,117.708641
85.250000,118.356277
85.300003,119.118034
85.350006,119.823555
85.400002,120.560287
85.450005,121.219765
85.500000,122.005554
85.550003,122.760658
85.600006,123.377274
85.650002,124.150414
85.700005,124.890709
85.750000,125.647263
85.800003,126.380005
85.850006,127.009880
85.900002,127.781677
85.950005,128.610138
86.000000,129.330368
86.050003,130.016098
86.100006,130.702423
86.150002,131.415955
86.200005,132.249191
86.250000,132.990845
86.300003,133.694290
86.350006,134.487854
86.400002,135.184998
86.450005,135.941833
86.500000,136.721695
86.550003,137.569977
86.600006,138.253418
86.650002,139.003372
86.700005,139.816162
86.750000,140.621597
86.800003,141.481522
86.850006,142.304382
86.900002,143.060852
86.950005,143.816849
87.000000,144.483841
87.050003,145.189865
87.100006,145.962311
87.150002,146.776703
87.200005,147.491745
87.250000,148.162262
87.300003,148.897690
87.350006,149.737503
