Grafico_Velocidade_das_rodas
Time (Seconds),Velocidade_Roda_Direita (Degrees/Seconds),Velocidade_Roda_Esquerda (Degrees/Seconds)
74.300003,232.164963,113.864716
74.350006,231.296265,114.152405
74.400002,231.548859,113.705437
74.450005,233.833466,113.624840
74.500000,231.310837,114.228630
74.550003,232.336639,114.402664
74.600006,233.110397,113.578941
74.650002,231.366837,114.027275
74.700005,231.920166,114.328354
74.750000,233.929474,114.076256
74.800003,232.032043,113.773193
74.850006,234.079468,113.669922
74.900002,231.365692,114.159233
74.950005,232.340500,114.145576
75.000000,233.527725,113.837944
75.050003,231.943115,113.806801
75.100006,231.575378,114.424522
75.150002,232.805084,113.967720
75.200005,230.989075,111.692169
75.250000,230.613464,110.740860
75.300003,230.168640,110.675293
75.350006,230.680634,110.580078
75.400002,232.737885,110.474762
75.450005,233.232117,110.457413
75.500000,231.808701,110.245949
75.550003,233.137314,110.308105
75.600006,230.683762,110.219582
75.650002,232.135315,110.250862
75.700005,232.220840,110.300453
75.750000,230.806030,110.208794
75.800003,232.179169,110.107292
75.850006,231.044327,110.087692
75.900002,231.635895,110.333855
75.950005,231.458771,110.152237
76.000000,231.665787,110.033188
76.050003,232.206497,110.063789
76.100006,233.129272,110.271767
76.150002,231.062576,110.122154
76.200005,233.055893,110.231499
76.250000,231.531662,110.993660
76.300003,232.537201,111.963120
76.350006,233.285934,110.281670
76.400002,232.467407,110.243530
76.450005,232.015244,111.461090
76.500000,233.933838,111.891037
76.550003,231.844498,112.925667
76.600006,231.923996,113.736618
76.650002,233.299316,114.008492
76.700005,231.880554,113.953850
76.750000,232.011688,114.171394
76.800003,232.610886,113.767662
76.850006,231.817169,114.336617
76.900002,231.979721,113.956520
76.950005,231.957321,113.883026
77.000000,233.570343,113.053566
77.050003,232.710281,113.188667
77.100006,231.609390,114.102272
77.150002,232.558517,114.072495
77.200005,231.862656,114.327805
77.250000,233.214355,113.403404
77.300003,233.853256,113.926193
77.350006,230.630219,113.084984
77.400002,232.796814,110.899323
77.450005,231.777985,110.203735
77.500000,231.131744,110.063583
77.550003,232.516861,110.099098
77.600006,230.611908,110.048553
77.650002,232.928574,110.138168
77.700005,231.420471,110.051285
77.750000,232.087509,109.889000
77.800003,232.239609,109.991180
77.850006,231.736847,110.032707
77.900002,231.606659,110.197723
77.950005,231.955414,110.362816
78.000000,232.229034,110.197998
78.050003,232.647583,110.432961
78.100006,231.868530,110.140900
78.150002,232.193649,110.204834
78.200005,231.912247,110.104836
78.250000,231.869354,110.060577
78.300003,232.101852,110.008392
78.350006,231.450027,110.264664
78.400002,231.349167,110.093636
78.450005,231.320755,110.333511
78.500000,231.807602,110.265755
78.550003,232.076996,110.292664
78.600006,232.577240,110.455498
78.650002,231.343155,111.324432
78.700005,231.939697,111.639305
78.750000,231.833832,110.310287
78.800003,230.541702,110.090492
78.850006,231.702560,110.069183
78.900002,232.085922,111.349297
78.950005,233.637146,110.391434
79.000000,233.240417,110.351273
79.050003,231.593338,110.714500
79.100006,232.239746,110.913528
79.150002,231.973450,111.302376
79.200005,232.303894,110.637383
79.250000,231.108902,111.821266
79.300003,231.157562,110.318283
79.350006,232.606064,110.207047
79.400002,232.291046,110.219070
79.450005,231.903229,110.342781
79.500000,232.107315,110.490913
79.550003,231.848862,112.818062
79.600006,232.838562,113.251976
79.650002,231.540131,113.681984
79.700005,232.390625,113.299400
79.750000,232.710556,113.399513
79.800003,231.276764,114.188644
